Country,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,June 2019,July 2019,Aug 2019,Sept 2019,Oct 2019,Nov 2019,Dec 2019
BRUNEI,523,599,926,455,618,768,696,627,710,620,800,784
CAMBODIA,298,286,315,454,539,447,449,469,670,514,879,668
INDONESIA,6811,6717,6658,4892,5755,6524,5353,4533,5194,4051,7794,6537
LAOS,72,61,108,91,90,102,144,113,131,160,280,102
MALAYSIA,11516,12862,13273,11071,13422,12163,10508,9889,11374,9541,13531,10732
MYANMAR,843,900,1086,1024,1188,1007,1098,1068,981,1346,1764,1673
SINGAPORE,11904,12321,15259,11877,13590,16200,12910,12217,12276,12287,14738,13016
THAILAND,4518,4891,5115,5283,5040,4432,4880,4543,4609,5583,6620,5778
VIETNAM,3849,5969,4899,5152,5757,7349,6174,4930,5082,5155,5980,6402
CHINA,131196,174175,158433,139177,130788,132792,171848,170903,150505,139707,126785,117000
HONGKONG,6977,9645,6672,7539,6569,7154,7923,6551,6703,7486,7970,10464
JAPAN,47567,64365,65837,57724,46495,44919,55727,78699,56878,51414,53784,59379
KOREA,179900,180890,158794,130707,138239,157495,167249,185334,152184,158380,176185,203965
MACAU,607,808,750,654,690,629,738,750,765,674,632,732
TAIWAN,21804,30648,25456,25441,25637,30546,32663,32676,27707,29642,23350,21703
BANGLADESH,466,540,510,620,404,673,454,502,624,453,877,507
INDIA,15182,11007,10086,9986,11275,11352,11495,11307,10777,9780,13357,9359
IRAN,184,108,355,177,178,183,160,173,164,206,206,196
NEPAL,822,520,445,323,377,680,431,461,453,360,435,711
PAKISTAN,501,465,423,501,372,454,480,458,552,393,757,437
SRI LANKA,593,474,478,491,477,594,532,518,515,734,595,411
BAHRAIN,312,213,269,243,138,403,392,341,184,256,321,224
EGYPT,225,252,208,354,201,300,288,275,258,215,349,285
JORDAN,162,158,184,232,147,186,181,144,111,105,173,148
KUWAIT,568,542,534,563,381,656,702,635,356,450,450,472
OMAN****,207,223,238,203,78,364,223,249,218,164,209,150
QATAR*,174,204,207,265,134,284,279,251,107,161,196,229
SAUDI ARABIA,3316,3354,3730,2683,1165,7220,5604,4534,3288,3609,3432,1813
UNITED ARAB EMIRATES,889,1064,1252,1086,703,723,912,814,522,664,759,804
CANADA,28144,22272,21936,22309,19944,13765,17630,13664,12006,16124,20405,30651
MEXICO,412,372,407,485,409,425,450,376,388,428,534,468
USA,109342,94632,89806,87710,90979,96735,93912,68418,61085,79716,82617,109488
ARGENTINA,571,400,371,358,303,178,156,177,197,253,349,330
BRAZIL,1047,909,1020,960,766,547,450,729,717,734,855,1301
COLOMBIA,298,253,292,302,268,241,256,250,289,256,381,300
PERU,144,125,120,134,150,110,99,180,129,139,153,177
ANDORRA,0,1,2,0,2,2,0,3,1,0,3,11
AUSTRIA,1761,1712,1390,1176,1019,875,1284,843,724,984,1130,1942
BELGIUM,1585,1513,1699,1967,1271,1523,2316,1175,1060,1320,1642,2085
FRANCE,9285,12934,10714,10380,5882,3765,5564,5638,3903,5640,6999,7873
GERMANY,11081,11569,11075,9485,6917,5195,6857,6512,5732,7698,8862,12773
LUXEMBOURG,72,92,58,87,43,31,66,104,37,63,69,115
NETHERLANDS,3890,3703,3942,3567,3181,2462,4196,2466,2289,2887,4182,4548
SWITZERLAND,3149,3365,2775,3557,2003,1349,2329,1373,1467,2051,2574,3974
DENMARK,2130,2220,1629,1785,1237,1077,1643,867,928,1200,1524,2295
FINLAND,1066,1138,722,566,545,649,329,282,405,582,868,1268
IRELAND,1741,1478,1672,2192,1719,2210,2325,1391,1267,1680,1460,2340
NORWAY,2031,2073,1649,1832,1183,3010,3364,1188,1030,1341,1597,3166
SWEDEN,3341,3602,2727,2140,1372,2023,1797,914,1078,1547,2091,5260
UNITED KINGDOM,18184,16999,18219,22578,16934,13759,18698,15753,12157,15673,18210,22042
GREECE,328,354,325,322,330,241,224,253,264,282,468,458
ITALY,4199,4015,3670,3555,2263,2014,2763,3148,1971,2752,3387,5214
PORTUGAL,590,808,698,1195,542,390,418,528,492,650,982,820
SPAIN,3952,3659,3552,4341,2965,2894,5202,6610,2901,3587,5409,4676
COMMONWEALTH OF INDEPENDENT STATES,1360,1099,1025,912,837,775,793,802,872,879,1135,1559
RUSSIAN FEDERATION,4590,4597,4339,2997,2156,1560,1352,1429,1820,2464,4349,4458
POLAND,2078,2200,1818,1403,823,565,625,547,606,1059,2444,1648
ISRAEL,2600,2633,2064,2506,1590,932,1318,1572,1933,1954,1662,2087
TURKEY,934,890,753,664,565,644,690,678,523,698,862,753
AUSTRALIA,29929,21571,21647,28683,22021,19163,21364,17347,21346,23096,23068,36935
GUAM,1806,1850,1801,1401,1680,2367,2235,1226,818,1540,1667,1444
NAURU,1,6,33,2,11,8,2,5,4,3,17,1
NEW ZEALAND,3496,2300,2627,3770,3026,2782,3193,2488,2870,3189,3257,4874
PAPUA NEW GUINEA,908,529,677,647,707,875,785,690,829,945,685,551
NIGERIA,268,243,255,254,519,285,279,297,340,220,291,188
SOUTH AFRICA,705,697,710,765,552,561,571,597,585,768,652,1390
